primaryTitle,genre,averageRating,rank,max_votes
Battle of the Bastards,Action,9.9,1,215717
Hardhome,Action,9.8,2,103888
The Spoils of War,Action,9.7,3,90846
Blackwater,Action,9.6,4,50885
Grand Theft Auto V,Action,9.5,5,65131
Endure and Survive,Action,9.4,6,73998
Avatar: The Last Airbender,Action,9.3,7,328215
Game of Thrones,Action,9.2,8,2150831
Fullmetal Alchemist: Brotherhood,Action,9.1,9,176625
The Dark Knight,Action,9.0,10,2701836
Berlin Avantgarde Extreme 1 - Die Vorleserin,Adult,9.9,1,31
"Berlin Avantgarde Extreme 35 - Die unartigen Abenteuer des kleinen Schnickl, Teil 2",Adult,9.8,2,34
Berlin Avantgarde Extreme 36 - Janas Welt,Adult,9.7,3,32
New Whores,Adult,9.6,4,37
Emily Willis: Influence,Adult,9.5,5,26
Meru the Succubus OVA 1,Adult,9.4,6,99
The Brother Load,Adult,9.3,7,34
The Psychic,Adult,9.2,8,101
Pink Velvet: The Innocence of Lesbian Love,Adult,9.1,9,177
The Bigger the Better,Adult,9.0,10,211
Battle of the Bastards,Adventure,9.9,1,215717
Hardhome,Adventure,9.8,2,103888
The Spoils of War,Adventure,9.7,3,90846
Blackwater,Adventure,9.6,4,50885
And Now His Watch Is Ended,Adventure,9.5,5,39798
Endure and Survive,Adventure,9.4,6,73998
Avatar: The Last Airbender,Adventure,9.3,7,328215
Game of Thrones,Adventure,9.2,8,2150831
Rick and Morty,Adventure,9.1,9,546800
The Lord of the Rings: The Return of the King,Adventure,9.0,10,1877248
Hero,Animation,9.9,1,101165
Declaration of War,Animation,9.8,2,61748
The Final Chapters: Special 1,Animation,9.7,3,33114
Children of the Forest,Animation,9.6,4,27198
Assassin's Bullet,Animation,9.5,5,35463
"Wall: Raid on Stohess District, Part 3",Animation,9.4,6,16179
Avatar: The Last Airbender,Animation,9.3,7,328215
The Basement,Animation,9.2,8,19219
Rick and Morty,Animation,9.1,9,546800
Attack on Titan,Animation,9.0,10,405061
Bea Arthur,Biography,9.9,1,208
Emma Samms,Biography,9.8,2,196
Victory,Biography,9.7,3,8131
Kill Them All,Biography,9.6,4,6470
Part Four,Biography,9.5,5,6687
Al Fin Cayó!,Biography,9.4,6,7358
Scam 1992: The Harshad Mehta Story,Biography,9.3,7,147410
Libertus,Biography,9.2,8,3774
The Last Dance,Biography,9.1,9,131999
Schindler's List,Biography,9.0,10,1377925
Connor's Wedding,Comedy,9.9,1,22129
The Ricklantis Mixup,Comedy,9.8,2,33383
Stress Relief,Comedy,9.7,3,15050
Herogasm,Comedy,9.6,4,30455
Grand Theft Auto V,Comedy,9.5,5,65131
What I Know,Comedy,9.4,6,17627
Pickle Rick,Comedy,9.3,7,20025
The Chaos Class,Comedy,9.2,8,41571
Rick and Morty,Comedy,9.1,9,546800
The Office,Comedy,9.0,10,632643
Felina,Crime,9.9,1,127642
Saul Gone,Crime,9.8,2,50288
Granite State,Crime,9.7,3,48471
The Reichenbach Fall,Crime,9.6,4,39287
Breaking Bad,Crime,9.5,5,1959565
Grand Theft Auto: San Andreas,Crime,9.4,6,41615
The Wire,Crime,9.3,7,350195
The Godfather,Crime,9.2,8,1897245
Sherlock,Crime,9.1,9,945917
The Dark Knight,Crime,9.0,10,2701836
Bea Arthur,Documentary,9.9,1,208
Jewelry of India,Documentary,9.8,2,357
Sahebs Who Never Left - Part 1: The Origins,Documentary,9.7,3,3957
Climaxing,Documentary,9.6,4,1086
Planet Earth II,Documentary,9.5,5,149327
Planet Earth,Documentary,9.4,6,212948
Cosmos: A Spacetime Odyssey,Documentary,9.3,7,123952
The World at War,Documentary,9.2,8,26663
The Last Dance,Documentary,9.1,9,131999
Clarkson's Farm,Documentary,9.0,10,46831
Battle of the Bastards,Drama,9.9,1,215717
Hardhome,Drama,9.8,2,103888
The Spoils of War,Drama,9.7,3,90846
Blackwater,Drama,9.6,4,50885
Breaking Bad,Drama,9.5,5,1959565
Chernobyl,Drama,9.4,6,790004
The Shawshank Redemption,Drama,9.3,7,2728832
Game of Thrones,Drama,9.2,8,2150831
Sherlock,Drama,9.1,9,945917
The Dark Knight,Drama,9.0,10,2701836
Lice Lice Baby/Scorpiophobia,Family,9.9,1,196
Going for Brogue/Yellow Jacket Racket,Family,9.9,1,196
Sleepytime,Family,9.8,2,6310
Robbie's Dream Team,Family,9.7,3,12923
Dooradarshana,Family,9.6,4,1104
Bluey,Family,9.5,5,14745
Nasty Patty/Idiot Box,Family,9.4,6,1457
Kingdom Hearts II,Family,9.3,7,7327
Reply 1988,Family,9.2,8,8555
Gullak,Family,9.1,9,18431
Yeh Meri Family,Family,9.0,10,24306
Pratha To Kill Rehan?,Fantasy,9.9,1,386
Chapter 16: The Rescue,Fantasy,9.8,2,59254
A Devil of My Word,Fantasy,9.7,3,14141
Chapter Seven: The Massacre at Hawkins Lab,Fantasy,9.6,4,38762
Star Wars: Knights of the Old Republic,Fantasy,9.5,5,8885
Chapter Four: Dear Billy,Fantasy,9.4,6,35121
Chapter 13: The Jedi,Fantasy,9.3,7,32603
Chapter Eight: The Battle of Starcourt,Fantasy,9.2,8,29431
The Twilight Zone,Fantasy,9.1,9,86608
Chapter Nine: The Piggyback,Fantasy,9.0,10,30729
Alias Mike Hercules,Film-Noir,8.5,1,12
Sunset Blvd.,Film-Noir,8.4,2,225812
Double Indemnity,Film-Noir,8.3,3,160132
I Am a Fugitive from a Chain Gang,Film-Noir,8.2,4,13808
The Third Man,Film-Noir,8.1,5,174719
The Maltese Falcon,Film-Noir,8.0,6,161576
Strangers on a Train,Film-Noir,7.9,7,136389
Shadow of a Doubt,Film-Noir,7.8,8,67381
The Killers,Film-Noir,7.7,9,22437
Gilda,Film-Noir,7.6,10,33363
Instant Pause,Game-Show,9.9,1,95
Rhymes Only,Game-Show,9.9,1,95
Quick Change 2,Game-Show,9.9,1,95
Child Dolls,Game-Show,9.9,1,95
Snatch Game,Game-Show,9.8,2,2970
Supremme Elegant Talent Extravaganza,Game-Show,9.7,3,2835
Run BTS!,Game-Show,9.6,4,2419
Bette Davis,Game-Show,9.5,5,175
The Kennedy Davenport Center Honors Hall of Shade,Game-Show,9.4,6,809
Legends,Game-Show,9.3,7,1583
Side Hustles,Game-Show,9.2,8,1240
Running Man,Game-Show,9.1,9,3318
Taskmaster,Game-Show,9.0,10,15056
Mid-Orange Correctional Facility,History,9.9,1,50
Vichnaya Pamyat,History,9.8,2,60932
Upanishad Ganga,History,9.7,3,821
Please Remain Calm,History,9.6,4,50677
"Open Wide, O Earth",History,9.5,5,47481
Chernobyl,History,9.4,6,790004
The Chosen,History,9.3,7,35934
The World at War,History,9.2,8,26663
The Last Dance,History,9.1,9,131999
Schindler's List,History,9.0,10,1377925
Equipe E,Horror,9.9,1,564
Mizumono,Horror,9.8,2,20223
The Wrath of the Lamb,Horror,9.7,3,14405
Chapter Seven: The Massacre at Hawkins Lab,Horror,9.6,4,38762
Mystery Spot,Horror,9.5,5,8565
Chapter Four: Dear Billy,Horror,9.4,6,35121
Chapter Eight: The Upside Down,Horror,9.3,7,25774
The Day Will Come When You Won't Be,Horror,9.2,8,42121
The Twilight Zone,Horror,9.1,9,86608
Chapter Nine: The Piggyback,Horror,9.0,10,30729
Me singing Don't Wanna Be Torn by Hannah Montana - Christina Grimmie,Music,9.9,1,111
Episode #15.135,Music,9.8,2,164
Teddy Perkins,Music,9.7,3,8141
Coke Studio,Music,9.6,4,1250
The Quarterback,Music,9.5,5,3496
Nirvana,Music,9.4,6,1946
B.A.N.,Music,9.3,7,5547
The Beatles Anthology,Music,9.2,8,9225
Barbershop,Music,9.1,9,3831
The Beatles: Get Back,Music,9.0,10,24536
Me singing Don't Wanna Be Torn by Hannah Montana - Christina Grimmie,Musical,9.9,1,111
Vasanthi Nalidaga,Musical,9.8,2,37
Christina Grimmie Zeldaxlove 64,Musical,9.7,3,451
Nothing But a Love Song,Musical,9.6,4,98
Madhi,Musical,9.5,5,2136
Naam,Musical,9.4,6,131
"Yes, It's Really Us Singing: The Crazy Ex-Girlfriend Concert Special!",Musical,9.3,7,346
Les Misérables in Concert,Musical,9.2,8,2432
Nagara Haavu,Musical,9.1,9,1126
The Nightmare of Milky Joe,Musical,9.0,10,460
Evde,Mystery,9.9,1,553
The Getaway,Mystery,9.8,2,14154
The Bicameral Mind,Mystery,9.7,3,31174
The Reichenbach Fall,Mystery,9.6,4,39287
Form and Void,Mystery,9.5,5,25457
A Scandal in Belgravia,Mystery,9.4,6,40173
The Well-Tempered Clavier,Mystery,9.3,7,19336
His Last Vow,Mystery,9.2,8,30946
Sherlock,Mystery,9.1,9,945917
Persona,Mystery,9.0,10,43048
Episode #4.2,News,9.9,1,139
Prime Time,News,9.8,2,133
Remembering Chadwick Boseman,News,9.7,3,1856
SLAPP Suits,News,9.6,4,696
Government Surveillance,News,9.5,5,708
Pretty Much It,News,9.4,6,285
1pm Daily Update,News,9.3,7,1804
24 minuta sa Zoranom Kesicem,News,9.2,8,253
We Cannot Stay Silent About George Floyd,News,9.1,9,196
Trump vs Truth,News,9.0,10,487
Wooten's Airboat Tours: Sinking Business,Reality-TV,9.9,1,139
Snatch Game,Reality-TV,9.8,2,2970
Supremme Elegant Talent Extravaganza,Reality-TV,9.7,3,2835
Climaxing,Reality-TV,9.6,4,1086
Khawatir,Reality-TV,9.5,5,3219
Cooku with Comali,Reality-TV,9.4,6,1568
Jinny's Kitchen,Reality-TV,9.3,7,3060
Harvesting,Reality-TV,9.2,8,1293
Unstoppable with NBK,Reality-TV,9.1,9,4535
Clarkson's Farm,Reality-TV,9.0,10,46831
Episode #1.11,Romance,9.9,1,99
"Dual Confessions, Part 2/The Shuchiin Afterparty",Romance,9.8,2,1960
The One Where Everybody Finds Out,Romance,9.7,3,12104
The Last One,Romance,9.6,4,15652
How Your Mother Met Me,Romance,9.5,5,10339
The One with the Embryos,Romance,9.4,6,8844
The One with the Prom Video,Romance,9.3,7,8168
The One with the Rumor,Romance,9.2,8,7432
Final Fantasy X,Romance,9.1,9,8249
The One with the Flashback,Romance,9.0,10,6314
EIGHT,Sci-Fi,9.9,1,40
Blink,Sci-Fi,9.8,2,21688
The Bicameral Mind,Sci-Fi,9.7,3,31174
Heaven Sent,Sci-Fi,9.6,4,11631
Damocles: Part Two,Sci-Fi,9.5,5,5967
Trompe L'Oeil,Sci-Fi,9.4,6,21095
The Well-Tempered Clavier,Sci-Fi,9.3,7,19336
Chapter 5: Return of the Mandalorian,Sci-Fi,9.2,8,25482
White Christmas,Sci-Fi,9.1,9,59993
Firefly,Sci-Fi,9.0,10,270642
Home Is You,Short,9.9,1,226
The Great Escape of Mr. Swag Boss,Short,9.8,2,551
Sahebs Who Never Left - Part 1: The Origins,Short,9.7,3,3957
The Good Place: Live Panel Discussion,Short,9.6,4,1663
Choque de Cultura,Short,9.5,5,773
Human Cake,Short,9.4,6,2477
100 Accurate Life Hacks,Short,9.3,7,1038
The Filthy Frank Show,Short,9.2,8,33108
Dragonslayer Doppelgänger,Short,9.1,9,1397
Vikings Season 3: Heavy Is the Head -the Politics of King Ragnar's Rule,Short,9.0,10,6147
Barstool Yak,Sport,9.9,1,508
Londra Merkez,Sport,9.8,2,1782
The Mongolia Special-Survival of the Fattest,Sport,9.7,3,3803
Always,Sport,9.6,4,1178
The Son,Sport,9.5,5,984
Formula 1,Sport,9.4,6,3243
Funeral for a Ford,Sport,9.3,7,1846
Baseball,Sport,9.2,8,4447
The Hope That Kills You,Sport,9.1,9,6585
Man City,Sport,9.0,10,6729
Desi Vibes with Shehnaaz Gill,Talk-Show,9.9,1,564
Bette Davis/Richard Pryor,Talk-Show,9.8,2,187
The Mongolia Special-Survival of the Fattest,Talk-Show,9.7,3,3803
The Good Place: Live Panel Discussion,Talk-Show,9.6,4,1663
Batman V Superman: Dawn of Justice (Ultimate Edition),Talk-Show,9.5,5,1233
Best of the Worst,Talk-Show,9.4,6,3545
Half in the Bag,Talk-Show,9.3,7,4966
Norm Macdonald Live,Talk-Show,9.2,8,1542
Unstoppable with NBK,Talk-Show,9.1,9,4535
Suchwita,Talk-Show,9.0,10,2247
Felina,Thriller,9.9,1,127642
Vichnaya Pamyat,Thriller,9.8,2,60932
Granite State,Thriller,9.7,3,48471
Please Remain Calm,Thriller,9.6,4,50677
Breaking Bad,Thriller,9.5,5,1959565
Chernobyl,Thriller,9.4,6,790004
The Wire,Thriller,9.3,7,350195
The Day Will Come When You Won't Be,Thriller,9.2,8,42121
Rabid Dog,Thriller,9.1,9,29094
Pilot,Thriller,9.0,10,38736
Anonymous,War,9.9,1,19
Toy Guns and the Mystery of Mr. Swag Boss,War,9.8,2,164
Jacobowsky und der Oberst,War,9.7,3,33
Wheels of War,War,9.6,4,103
Why We Fight,War,9.5,5,9341
Band of Brothers,War,9.4,6,480907
Jibon Theke Neya,War,9.3,7,2163
The World at War,War,9.2,8,26663
The Vietnam War,War,9.1,9,25818
Apocalypse: The Second World War,War,9.0,10,13125
The White Witch,Western,9.9,1,8
Plan 11: Black Bela Returns,Western,9.8,2,11
Prince Oak Oakleyski Russia-Thailand,Western,9.7,3,22
Frisco,Western,9.6,4,8
The Silver Kid,Western,9.5,5,14
Lone Star Trixie,Western,9.4,6,538
Half the Money,Western,9.3,7,3683
Racing Clouds,Western,9.2,8,3094
The Fangs of Freedom,Western,9.1,9,3493
This Is Not Your Heaven,Western,9.0,10,3034
